policy_id,policy_name,policy_type,department,issue_date,implementation_date,status,summary
POL001,武川县马铃薯种薯繁育基地建设补贴实施方案,农业产业扶持,武川县农牧业局,2016-03-15,2016-04-01,已完成,针对建档立卡贫困户种植高产马铃薯提供种薯补贴和技术指导，旨在提升亩产值。
POL002,林西县健康扶贫“兜底保障”工程实施细则,医疗保障,林西县卫生健康委员会,2017-05-20,2017-06-01,执行中,为贫困人口购买补充商业医疗保险，将慢性病门诊报销比例提高至90%以上，解决因病致贫问题。
POL003,阿尔山市“旅游+扶贫”生态农家乐奖补办法,产业发展,阿尔山市文化旅游体育局,2018-02-10,2018-03-01,已完成,鼓励贫困户利用自家房屋改造为特色民宿或农家乐，政府提供装修补贴和经营培训。
POL004,扎赉特旗农村牧区饮水安全巩固提升工程方案,基础设施建设,扎赉特旗水利局,2018-04-05,2018-05-01,已完成,重点解决偏远嘎查村季节性缺水和水质氟超标问题，建设集中供水站和管网入户。
POL005,科右中旗蒙古族刺绣非遗传承与技能培训计划,教育与文化,科右中旗文化馆,2019-01-15,2019-02-01,执行中,设立刺绣扶贫车间，对贫困妇女进行免费刺绣技能培训，并回购成品，实现居家就业。
POL006,化德县服装加工产业园区招商引资及就业补贴政策,工业招商,化德县工业和信息化局,2017-08-08,2017-09-01,执行中,利用京蒙对口帮扶资金建设服装加工园，对吸纳贫困人口就业的企业给予税收优惠和工资补贴。
POL007,全区建档立卡贫困劳动力转移就业交通补贴办法,社会保障与就业,内蒙古自治区人力资源和社会保障厅,2019-02-20,2019-03-01,已完成,对跨盟市务工的贫困劳动力提供一次性交通补贴，鼓励外出务工增收。
POL008,卓资县特色熏鸡产业发展基金管理办法,经济发展,卓资县财政局,2018-06-10,2018-07-01,执行中,设立专项基金支持熏鸡产业链上下游企业，带动贫困户参与养殖和加工环节。
POL009,赤峰市易地扶贫搬迁后续产业扶持指导意见,人口与户籍,赤峰市乡村振兴局,2017-03-12,2017-04-01,已完成,针对巴林左旗、巴林右旗等地搬迁人口，在安置点配套建设设施农业产业园，确保搬得出、稳得住。
POL010,锡林郭勒盟草原生态补奖机制与脱贫攻坚衔接方案,生态经济,锡林郭勒盟林草局,2018-05-05,2018-06-01,执行中,在苏尼特右旗等地聘用贫困人口为生态护林员，实现生态保护与脱贫增收双赢。
POL011,通辽市“互联网+农产品”电商扶贫三年行动计划,工业投资贸易,通辽市商务局,2019-08-20,2019-09-01,执行中,支持库伦旗、奈曼旗建设县级电商服务中心，打通杂粮杂豆上行渠道。
